project,project_id,province,coast,tier,calc_group,capacity_mtpa,capacity_basis,first_export_year,first_export_year_is_placeholder,first_export_year_note,life_years,life_basis,life_source,lifetime_mtco2e,share_of_full_buildout_pct,emitting_years,canada_territorial_mtco2e_per_year,international_bunkers_mtco2e_per_year,foreign_territorial_mtco2e_per_year,fid_confirmed,gem_status_verbatim,gem_status_date,gem_wiki_url,register_status,feedgas_basin,route_distance_nm,gem_disagrees_with_register
Discovery LNG Terminal,discovery_t1t4,British Columbia,Pacific,early_proposed,proposed,20.0,20 mtpa as recorded in Global Energy Monitor's Global Gas Infrastructure Tracker.,2030,True,placeholder: assumed_first_export_year_if_missing=2030,40,parameters default,Parameters:lifecycle_years_default,2043.877,21.981668823174225,35,10.527817142857142,1.973965714285714,45.89470285714286,False,cancelled (inferred 4 y),2026-08-29,https://www.gem.wiki/Discovery_LNG_Terminal,proposed,not available,3800.0,True
"Kino Aski LNG (formerly Marinvest Energy, Baie-Comeau)",marinvest_baie_comeau,Quebec,Atlantic,early_proposed,proposed,15.0,"Proponent press release, 17 August 2026: up to 15 mtpa. Replaces the earlier 10 mtpa figure, which was a company statement to journalists rather than a filed or released capacity.",2030,True,placeholder: assumed_first_export_year_if_missing=2030,40,parameters default,Parameters:lifecycle_years_default,1521.7262731578949,16.365996082973684,35,7.895862857142856,1.1610035187969925,34.421027142857135,False,not available,not available,not available,proposed,not available,2980.0,False
LNG Canada Terminal,lng_canada_phase_1,British Columbia,Pacific,operating,operating,14.0,nameplate,2025,False,Asset Register:first_export_year,32,licence end,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),1309.5949999999998,14.084547936341005,32,7.377999999999998,1.3833749999999998,32.16346875,True,operating,2026-08-28,https://www.gem.wiki/LNG_Canada_Terminal,operating,Western Canada Sedimentary Basin (northeast British Columbia),3800.0,False
Kanata LNG,kanata_lng,British Columbia,Pacific,early_proposed,proposed,12.0,Up to 12 mtpa as stated by the proponent. No filed project description or environmental assessment.,2030,True,placeholder: assumed_first_export_year_if_missing=2030,40,parameters default,Parameters:lifecycle_years_default,1226.3261999999995,13.18900129390453,35,6.316690285714283,1.1843794285714282,27.536821714285704,False,not available,not available,not available,proposed,not available,3800.0,False
Ksi Lisims FLNG Terminal,ksi_lisims_lng,British Columbia,Pacific,advanced_proposed,proposed,12.0,"nameplate, up to two floating liquefaction structures",2029,False,Asset Register:first_export_year,35,licence end,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),1047.6192,11.267027471417666,30,6.295552,1.1804160000000001,27.444672000000008,False,proposed,2026-08-28,https://www.gem.wiki/Ksi_Lisims_FLNG_Terminal,proposed,Western Canada Sedimentary Basin (northeast British Columbia),3800.0,False
LNG Canada Terminal,lng_canada_phase_2,British Columbia,Pacific,advanced_proposed,proposed,14.0,nameplate,2030,False,Asset Register:first_export_year,27,licence end,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),888.636,9.557180914678451,22,7.2820363636363625,1.3653818181818183,31.745127272727277,False,proposed,2026-08-28,https://www.gem.wiki/LNG_Canada_Terminal,proposed,Western Canada Sedimentary Basin (northeast British Columbia),3800.0,False
Fermeuse Energy FLNG Terminal,fermeuse_energy_flng,Newfoundland and Labrador,Atlantic,early_proposed,proposed,5.0,"Derived, not published. The proponent has not stated a liquefaction capacity. This figure is constrained by the gas resource: Fermeuse Energy states the project would develop 9.7 trillion cubic feet of offshore associated gas in the Jeanne d'Arc Basin, which is 275 billion cubic metres. At 1.38 bcm per mtpa, spread over the 40-year operating life assumed elsewhere in this register, that supports 5.0 mtpa. Two other approaches give higher figures and were not used: the same reserve over a 25-year life gives 8.0 mtpa, and benchmarking the stated US$12 to 15 billion capital cost against Ksi Lisims and Cedar gives 9 to 12 mtpa. An unsourced third-party table circulates a figure of 10 mtpa. The lowest defensible derivation is used.",2030,True,placeholder: assumed_first_export_year_if_missing=2030,40,parameters default,Parameters:lifecycle_years_default,504.9239800000001,5.430401002232056,35,2.631954285714286,0.32076942857142865,11.473675714285719,False,proposed,2026-08-28,https://www.gem.wiki/Fermeuse_Energy_FLNG_Terminal,proposed,Jeanne d'Arc Basin (offshore Newfoundland),2470.0,False
Cedar FLNG Terminal,cedar_lng,British Columbia,Pacific,under_construction,under_construction,3.3,"nameplate design capacity, confirmed by the proponent's own FID announcement. NRCan and CER both cite 3.0 mtpa, which appears to be a rounded or licenced figure rather than nameplate.",2028,False,Asset Register:first_export_year,39,licence end,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),376.55524500000007,4.049809596770859,39,1.7406670769230768,0.326375076923077,7.58822053846154,True,construction,2026-08-28,https://www.gem.wiki/Cedar_FLNG_Terminal,construction,Western Canada Sedimentary Basin (northeast British Columbia),3800.0,False
Summit Lake PG LNG,summit_lake_pg_lng,British Columbia,Pacific,early_proposed,proposed,2.7,"nameplate, up to 2.7 mtpa",2030,True,placeholder: assumed_first_export_year_if_missing=2030,30,proponent,Asset Register:project_life_years,195.505245,2.102637071009429,25,1.4098406399999999,0.26434512,6.146024040000001,False,not available,not available,not available,proposed,Western Canada Sedimentary Basin (northeast British Columbia),3800.0,False
Woodfibre LNG Terminal,woodfibre_lng,British Columbia,Pacific,under_construction,under_construction,2.1,"nameplate design capacity 2.1 mtpa. Woodfibre applied in Oct 2016 for a 40 year licence to export up to 2.9 mtpa, so the licenced volume exceeds nameplate.",2028,False,Asset Register:first_export_year,30,licence end,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),183.33336000000008,1.9717298074980925,30,1.1017216000000003,0.20657280000000008,4.802817600000002,True,construction,2026-08-28,https://www.gem.wiki/Woodfibre_LNG_Terminal,construction,Western Canada Sedimentary Basin (northeast British Columbia),3800.0,False
